Product Category,Supply Quantity (Tons),Demand (Number of Buyers),Season,Competitor Price (₹),Actual Price (₹),Predicted Optimal Price (₹)
Vegetables,10,2350,Winter,95,92,99.46233217711307
Fruits,22,1720,Winter,55,61,60.570782222548765
Fruits,14,1094,Winter,94,104,104.2180632868011
Grains,6,2430,Summer,82,87,85.64176196749956
Grains,37,2787,Summer,53,47,49.05046448965842
Grains,35,974,Winter,82,91,88.9306613296599
Grains,29,2955,Spring,80,91,87.99619679567179
Vegetables,50,1877,Summer,60,59,58.30777354284111
Vegetables,28,1851,Spring,37,48,51.00380320432852
Fruits,5,2474,Winter,70,80,74.8181609838778
